@relation features

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data

2.5955,3.955,3.5004,2.06,2.8509,3.3581,6.7928,0.008,0.052,0.226,0.324,0.218,0.114,0.04,0.014,0.002,0.002,0.036,0.08,0.108,0.14,0.152,0.196,0.16,0.052,0.048,0.028,0.016,0.064,0.132,0.264,0.326,0.104,0.044,0.02,0.024,0.006,371.12,441.36,683.43,1
2.8925,4.0612,3.4047,2.2713,2.9073,3.6797,7.0831,0.038,0.092,0.18,0.266,0.18,0.12,0.066,0.032,0.018,0.008,0.058,0.17,0.226,0.272,0.184,0.074,0.014,0,0,0.002,0.012,0.036,0.096,0.294,0.384,0.082,0.042,0.024,0.016,0.014,423.91,360.16,715.85,1
3.006,3.8974,3.2917,2.3557,2.887,3.6429,6.91,0.004,0.022,0.124,0.27,0.284,0.182,0.076,0.03,0.006,0.002,0.006,0.046,0.132,0.134,0.224,0.238,0.106,0.066,0.034,0.014,0.006,0.036,0.068,0.206,0.468,0.132,0.038,0.022,0.012,0.012,338.86,399.05,850.1,1
2.5233,2.5327,1.9719,2.3059,2.2269,2.0803,4.6184,0.004,0.002,0.008,0.048,0.21,0.36,0.274,0.06,0.018,0.016,0.02,0.1,0.226,0.332,0.16,0.1,0.032,0.022,0.002,0.006,0.002,0.006,0.014,0.02,0.046,0.268,0.436,0.118,0.064,0.026,567.75,451.2,705,1
2.4566,2.3546,1.7451,2.1675,1.9577,1.8675,4.3195,0.004,0.012,0.048,0.142,0.266,0.352,0.11,0.034,0.012,0.02,0.016,0.064,0.186,0.268,0.25,0.114,0.062,0.024,0.008,0.008,0.016,0.008,0.04,0.058,0.35,0.348,0.116,0.042,0.014,0.008,703.46,450.86,596.27,1
2.6239,2.4857,1.8771,2.4467,2.0996,2.1998,4.589,0.01,0.018,0.094,0.258,0.378,0.172,0.03,0.022,0.016,0.002,0.016,0.2,0.262,0.304,0.132,0.054,0.016,0.014,0,0.002,0.006,0.01,0.014,0.034,0.072,0.448,0.294,0.074,0.032,0.016,557.69,422.09,499.11,1
2.8063,2.6154,1.9066,2.5691,2.2812,2.3221,4.8391,0.004,0.026,0.078,0.234,0.316,0.266,0.03,0.018,0.02,0.008,0.006,0.084,0.25,0.396,0.18,0.058,0.02,0.004,0,0.002,0.01,0.012,0.026,0.04,0.15,0.548,0.13,0.056,0.016,0.012,621.73,451.41,551.72,1
3.2598,6.387,3.8021,2.7829,5.1246,3.4221,9.0588,0.004,0.004,0.038,0.198,0.402,0.24,0.09,0.022,0,0.002,0.002,0.016,0.056,0.126,0.144,0.326,0.202,0.102,0.018,0.008,0.006,0.012,0.046,0.168,0.386,0.224,0.096,0.05,0.006,0.006,390.29,387.32,295,3
3.706,6.7297,3.568,3.2652,5.0993,3.3259,9.5356,0.008,0.008,0.04,0.096,0.294,0.286,0.146,0.08,0.028,0.014,0.032,0.032,0.14,0.15,0.242,0.24,0.12,0.034,0.002,0.008,0.002,0.004,0.01,0.03,0.144,0.376,0.314,0.07,0.04,0.01,443.15,413.86,302.16,3
